time,north_bering_sst,south_bering_sst,west_aleutians_sst,central_aleutians_sst,east_aleutians_sst,west_gulf_sst,central_gulf_sst,east_gulf_sst,north_bering_sst_stdev,south_bering_sst_stdev,west_aleutian_sst_stdev,central_aleutian_sst_stdev,east_aleutians_sst_stdev,west_gulf_sst_stdev,central_gulf_sst_stdev,east_gulf_sst_stdev,north_bering_sst_n,south_bering_sst_n,west_aleutian_sst_n,central_aleutian_sst_n,east_aleutian_sst_n,west_gulf_sst_n,central_gulf_sst_n,east_gulf_sst_n
UTC,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,,,,,,,,
1984-03-17T00:00:00Z,-1.1646892,0.670434,2.070157,2.0623925,2.6124585,2.8714294,4.238589,5.380979,0.57491666,1.6901045,0.39521977,0.5981973,0.44200638,0.50536144,0.6278664,0.8904905,3877,12327,9300,8188,10132,16131,24798,19196
1984-04-16T00:00:00Z,-0.81526816,0.5325149,2.1648057,2.3198001,2.719782,2.9879441,4.428372,5.543361,0.7708588,1.4527663,0.6073364,0.7967256,0.6434867,0.62660605,0.7726406,0.91040546,4419,12871,4732,4004,6287,12165,22124,17615
1984-05-17T00:00:00Z,-0.5296537,1.2433714,3.2264001,3.0408635,3.3193247,4.2054033,5.8087115,7.17097,0.899684,1.5253892,1.109312,1.217715,1.4190478,1.2893611,1.2904446,1.2138242,36303,15157,5492,5072,2947,8173,23295,25826
1984-06-16T00:00:00Z,2.4498427,3.8443906,4.317022,3.6565223,5.036215,7.176246,8.416322,10.046789,1.9680644,1.9965806,1.3792555,1.2198468,2.073285,1.7730551,1.1943966,1.2566296,38086,15312,12138,4756,2288,5136,28488,23965
1984-07-17T00:00:00Z,4.972973,5.4026356,6.339378,5.6312637,8.367171,10.151272,11.238945,11.773543,1.3878728,1.4931004,1.8190283,1.9501148,2.40508,1.6038141,0.9166331,1.5095048,44631,25546,14504,11207,9988,12086,25253,21563
1984-08-17T00:00:00Z,7.4201474,7.9843087,9.697481,9.288049,9.198033,10.7880945,13.073324,13.693761,1.8032527,1.3258866,1.0419145,1.0837778,1.5907186,1.4791576,1.1415954,0.6917924,39590,24934,19995,17038,18984,18559,32332,29837
1984-09-16T00:00:00Z,7.997305,8.935822,9.61444,9.856742,10.001915,10.983538,11.514344,12.409091,1.5258723,0.9353911,1.0083002,1.5389678,1.4121134,0.8542361,0.6322965,0.5304339,39324,19168,21559,13511,8981,6355,23981,20316
1984-10-17T00:00:00Z,5.8232436,6.9078674,8.52344,8.26967,7.9096866,8.110485,9.314673,10.232665,2.0741415,1.0519686,0.9827146,1.045731,1.0489558,1.2096657,0.6022645,0.88025415,17591,21106,10220,8068,10694,9320,26861,26950
1984-11-16T00:00:00Z,3.497551,5.024669,5.2679315,5.450552,5.566709,6.273167,6.733664,7.585874,1.5947592,1.1278706,1.1037192,1.1286196,0.9841838,1.2574393,0.8266405,0.8758743,24772,13867,4713,8132,9146,8642,25389,17694
1984-12-17T00:00:00Z,1.4879464,3.7266707,3.5301406,3.613601,4.1469245,4.7335644,5.4971795,6.124538,1.3810338,1.0191714,0.53121793,0.70645654,0.5836194,0.7955713,0.6807545,0.6009214,10489,8924,7540,7448,11276,16272,21411,18684
1985-01-17T00:00:00Z,0.7950685,3.5300639,2.994487,3.1003077,3.5363882,4.4486775,4.8343663,5.384762,1.3096886,0.9884657,0.6620352,0.7342714,0.75447685,1.0375522,0.71203846,0.98235655,19927,18629,4143,4421,7038,8439,17906,4870
1985-02-15T00:00:00Z,0.025901297,3.0421948,2.5542195,2.9651914,3.604495,4.597093,4.717219,5.607329,1.3531076,1.2292503,0.6433729,0.72593045,0.68778825,0.74079126,0.883143,0.725617,21519,12798,8553,5725,11891,19805,28947,19635
1985-03-17T00:00:00Z,0.36358154,1.2175647,1.9535215,2.4472146,2.6284971,3.375546,3.7113588,4.7662354,1.2246748,1.2284784,0.6361651,0.5571427,0.71272767,0.84086025,0.5794912,0.6460322,9267,14093,4924,7755,5636,6318,24888,28363
